country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Moldova,Europe,516986,11489,504142,1355,49,128715,2860,3216305,800772,4016504
Monaco,Europe,12004,54,11866,84,4,301911,1358,54960,1382294,39760
Mongolia,Asia,469885,2179,313256,154450,192,139159,645,4030048,1193522,3376601
Montenegro,Europe,236277,2719,232955,603,6,376109,4328,2465201,3924142,628214
Morocco,Africa,1165795,16071,1149054,670,293,30902,426,11237010,297864,37725337
Mozambique,Africa,225493,2201,223190,102,13,6857,67,1319772,40132,32885526
Netherlands,Europe,8067116,22292,7989151,55673,55,468869,1296,21107399,1226784,17205480
New Caledonia,Australia/Oceania,61049,312,60339,398,9,210072,1074,98964,340539,290610
Niger,Africa,9013,310,8579,124,1,349,12,253043,9794,25837472
Nigeria,Africa,255859,3143,249943,2773,11,1186,15,5114703,23717,215651424
Oman,Asia,389408,4260,384592,556,2,72808,796,25000000,4674286,5348410
Pakistan,Asia,1529249,30376,1494141,4732,109,6681,133,28350449,123867,228878790
Palau,Australia/Oceania,4879,6,4166,707,1,267269,329,49264,2698658,18255
Panama,North America,806277,8203,773421,24653,16,181543,1847,6019923,1355456,4441253
Papua New Guinea,Australia/Oceania,43876,651,43200,25,7,4737,70,249149,26898,9262605
Paraguay,South America,649718,18872,624673,6173,2,89055,2587,2633737,360998,7295705
Philippines,Asia,3687922,60455,3624459,3008,289,32841,538,29827732,265614,112297269
Poland,Europe,6003436,116207,5335112,552117,981,158950,3077,36224215,959088,37769420
Qatar,Asia,366179,677,364474,1028,1,130415,241,3487616,1242115,2807805
Reunion,Africa,405980,762,395430,9788,10,447503,840,1603660,1767679,907212
Russia,Europe,18260293,377670,17647179,235444,2300,125027,2586,273400000,1871949,146050996
Saint Lucia,North America,24267,368,23277,622,1,131038,1987,143281,773697,185190
Saint Martin,North America,10602,63,1399,9140,7,265754,1579,112382,2817015,39894
Saint Pierre And Miquelon,North America,2739,1,2449,289,1,477095,174,23687,4125936,5741
Samoa,Australia/Oceania,11313,24,1605,9684,4,56320,119,85921,427746,200869
San Marino,Europe,16852,115,16454,283,4,494716,3376,152231,4468970,34064
Saudi Arabia,Asia,759226,9116,743921,6189,61,21194,254,42144668,1176452,35823522
Serbia,Europe,2012836,16049,1988209,8578,12,232112,1851,9596815,1106664,8671838
Singapore,Asia,1240233,1362,1162140,76731,8,208933,229,23767171,4003881,5936034
Sint Maarten,North America,10123,86,9985,52,10,231208,1964,62056,1417354,43783
Slovakia,Europe,1787093,20041,1761664,5388,30,327033,3667,7127129,1304244,5464567
Slovenia,Europe,1019468,6622,1003559,9287,9,490254,3184,2656926,1277694,2079470
Solomon Islands,Australia/Oceania,18174,146,16357,1671,2,25303,203,5117,7124,718243
South Africa,Africa,3887449,100753,3708347,78349,192,64042,1660,24841314,409239,60701292
South Sudan,Africa,17525,138,13514,3873,1,1532,12,389677,34068,11438136
Spain,Europe,12127122,105444,11548089,473589,339,259190,2254,471036328,10067352,46788503
State Of Palestine,Asia,582119,5353,576684,82,17,109376,1006,3078533,578432,5322203
Swaziland,Africa,71698,1402,69549,747,11,60631,1186,1021394,863732,1182536
Sweden,Europe,2504894,18864,2477725,8305,9,245180,1846,18553837,1816057,10216549
Switzerland,Europe,3631881,13882,3551493,66506,78,414008,1582,20927607,2385592,8772500
Thailand,Asia,4373846,29475,4273599,70772,1496,62371,420,17270775,246281,70126166
Trinidad And Tobago,North America,154643,3871,141354,9418,18,109837,2749,726218,515806,1407928
Turkey,Asia,15053168,98890,14951238,3040,975,174977,1149,160622710,1867071,86029250
Turks And Caicos Islands,North America,6046,36,5963,47,4,152323,907,505354,12731886,39692
Uganda,Africa,164069,3596,100205,60268,2,3388,74,2612795,53950,48429823
UK,Europe,22159805,176708,21677896,305201,253,323264,2578,519264096,7574950,68550166
Uruguay,South America,902540,7213,892434,2893,18,258152,2063,6114822,1749015,3496151
USA,North America,84209473,1026646,81244260,1938567,1941,251659,3068,1016882505,3038939,334617623
Uzbekistan,Asia,238802,1637,236974,191,23,6947,48,1377915,40088,34372515
Venezuela,South America,522921,5711,516170,1040,230,18487,202,3359014,118752,28285909
Viet Nam,Asia,10696630,43065,9355040,1298525,340,108080,435,85811485,867048,98969721
Yemen,Asia,11819,2149,9009,661,23,381,69,265253,8543,31049015
Zimbabwe,Africa,249206,5482,242417,1307,12,16324,359,2287793,149863,15265849
